,precision,recall,f1-score,support
1,1.0,0.8333333333333334,0.9090909090909091,6.0
2,1.0,1.0,1.0,62.0
3,1.0,1.0,1.0,50.0
4,1.0,1.0,1.0,58.0
5,1.0,1.0,1.0,61.0
6,1.0,1.0,1.0,56.0
7,1.0,1.0,1.0,9.0
8,1.0,1.0,1.0,7.0
9,1.0,1.0,1.0,9.0
10,1.0,1.0,1.0,10.0
11,1.0,1.0,1.0,12.0
13,1.0,1.0,1.0,10.0
14,0.0,0.0,0.0,0.0
15,1.0,1.0,1.0,11.0
16,1.0,1.0,1.0,10.0
17,1.0,1.0,1.0,6.0
18,1.0,1.0,1.0,5.0
19,1.0,1.0,1.0,2.0
21,0.0,0.0,0.0,1.0
22,0.0,0.0,0.0,1.0
24,1.0,1.0,1.0,2.0
25,0.0,0.0,0.0,1.0
28,0.0,0.0,0.0,2.0
29,0.0,0.0,0.0,1.0
30,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0
32,0.0,0.0,0.0,1.0
33,1.0,1.0,1.0,2.0
36,1.0,1.0,1.0,1.0
40,0.0,0.0,0.0,2.0
accuracy,0.975,0.975,0.975,1200.975
macro avg,0.7333333333333333,0.7277777777777779,0.7303030303030303,400.0
weighted avg,0.9775,0.975,0.9761363636363636,400.0
