,precision,recall,f1-score,support
0,1.0,1.0,1.0,5.0
1,1.0,1.0,1.0,56.0
2,1.0,0.9411764705882353,0.9696969696969697,17.0
3,1.0,1.0,1.0,50.0
4,1.0,1.0,1.0,61.0
5,1.0,1.0,1.0,58.0
6,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,10.0
8,1.0,1.0,1.0,11.0
9,1.0,1.0,1.0,7.0
10,1.0,1.0,1.0,10.0
11,1.0,1.0,1.0,7.0
12,1.0,1.0,1.0,5.0
13,1.0,1.0,1.0,2.0
14,1.0,1.0,1.0,4.0
15,1.0,0.6666666666666666,0.8,3.0
17,1.0,0.5,0.6666666666666666,2.0
18,0.8,1.0,0.8888888888888888,8.0
20,0.8928571428571429,1.0,0.9433962264150944,25.0
21,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,2.0
23,1.0,1.0,1.0,4.0
24,1.0,1.0,1.0,9.0
25,0.25,1.0,0.4,1.0
26,1.0,0.875,0.9333333333333333,8.0
27,1.0,0.5,0.6666666666666666,4.0
30,0.125,1.0,0.2222222222222222,1.0
33,1.0,1.0,1.0,5.0
34,0.0,0.0,0.0,3.0
36,0.0,0.0,0.0,1.0
37,1.0,1.0,1.0,2.0
38,0.8,0.6666666666666666,0.7272727272727273,6.0
39,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,6.0
41,0.0,0.0,0.0,3.0
42,0.0,0.0,0.0,1.0
accuracy,0.96,0.96,0.96,0.96
macro avg,0.8296626984126985,0.8374863834422658,0.8116151028100713,400.0
weighted avg,0.9622410714285715,0.96,0.9575834762721556,400.0
