log_level,message,Drain_cluster_id,KMeans_cluster_id,template
,"2015-07-29 17:41:44,747 - info  [quorumpeer[myid=1]/0:0:0:0:0:0:0:0:2181:fastleaderelection@774] - notification time out: 3200",1,0,"<NUM>-<NUM>-<NUM> <NUM>:<NUM>:<NUM>,<NUM> - info [quorumpeer[myid=<NUM>]/<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:<NUM>:fastleaderelection@<NUM>] - notification time out: <NUM>"
INFO,received connection request /10.10.34.11:45307,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
INFO,received connection request /10.10.34.13:57707,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
INFO,received connection request /10.10.34.11:45382,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
INFO,received connection request /10.10.34.11:45440,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
INFO,received connection request /10.10.34.13:57895,2,23,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
INFO,received connection request /10.10.34.12:47727,2,2,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
INFO,received connection request /10.10.34.13:58035,2,38,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,interrupting sendworker,6,1,interrupting sendworker
INFO,received connection request /10.10.34.12:47838,2,2,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupting sendworker,6,1,interrupting sendworker
INFO,received connection request /10.10.34.13:58116,2,2,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,received connection request /10.10.34.11:45957,2,2,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,send worker leaving thread,3,3,send worker leaving thread
INFO,received connection request /10.10.34.13:58303,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,received connection request /10.10.34.12:48096,2,22,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,send worker leaving thread,3,3,send worker leaving thread
INFO,received connection request /10.10.34.12:48141,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupting sendworker,6,1,interrupting sendworker
INFO,received connection request /10.10.34.13:58421,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,send worker leaving thread,3,3,send worker leaving thread
INFO,received connection request /10.10.34.11:46128,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,interrupting sendworker,6,1,interrupting sendworker
INFO,received connection request /10.10.34.13:58452,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,send worker leaving thread,3,3,send worker leaving thread
INFO,received connection request /10.10.34.11:46173,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
INFO,received connection request /10.10.34.12:48280,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupting sendworker,6,1,interrupting sendworker
INFO,received connection request /10.10.34.13:58565,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,send worker leaving thread,3,3,send worker leaving thread
INFO,received connection request /10.10.34.12:48413,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupting sendworker,6,1,interrupting sendworker
INFO,received connection request /10.10.34.11:46329,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
INFO,received connection request /10.10.34.11:46360,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
INFO,received connection request /10.10.34.11:46424,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
INFO,received connection request /10.10.34.11:46440,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
INFO,received connection request /10.10.34.12:48600,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupting sendworker,6,1,interrupting sendworker
INFO,received connection request /10.10.34.11:46519,2,2,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,send worker leaving thread,3,3,send worker leaving thread
INFO,received connection request /10.10.34.11:46552,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,send worker leaving thread,3,3,send worker leaving thread
INFO,received connection request /10.10.34.13:59016,2,38,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupting sendworker,6,1,interrupting sendworker
INFO,received connection request /10.10.34.12:48811,2,2,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
INFO,received connection request /10.10.34.13:59037,2,26,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,send worker leaving thread,3,3,send worker leaving thread
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,interrupted while waiting for message on queue,4,5,interrupted while waiting for message on queue
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
INFO,received connection request /10.10.34.13:59078,2,22,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,interrupting sendworker,6,1,interrupting sendworker
INFO,received connection request /10.10.34.11:46798,2,23,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupting sendworker,6,1,interrupting sendworker
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
INFO,received connection request /10.10.34.11:46812,2,38,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,"connection broken for id 188978561024, my id = 1, error =",5,4,"connection broken for id <NUM>, my id = <NUM>, error ="
INFO,received connection request /10.10.34.13:59130,2,20,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,interrupting sendworker,6,1,interrupting sendworker
INFO,received connection request /10.10.34.12:48922,2,2,received connection request /<NUM>.<NUM>.<NUM>.<NUM>:<NUM>
WARN,send worker leaving thread,3,3,send worker leaving thread
